?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"American_Music_Award"	"Favorite_Pop/Rock_Male_Artist"	1978	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Peter-Frampton>	"Peter Frampton"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2015	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charli-XCX>	"Charli XCX"
"American_Music_Award"	"Favorite_Country_Album"	2008	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Garth-Brooks>	"Garth Brooks"
"American_Music_Award"	"Favorite_Rap/Hip"	2016	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Drake-(musician)>	"Drake"
"Grammy_Award"	"Album_of_the_Year"	2020	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lizzo>	"Lizzo"
"Billboard_Music_Award"	"Top_Female_Artist"	2015	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"American_Music_Award"	"Favorite_Country_Female_Artist"	2014	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Carrie-Underwood>	"Carrie Underwood"
"Grammy_Award"	"Album_of_the_Year"	1963	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tony-Bennett>	"Tony Bennett"
"Grammy_Award"	"Album_of_the_Year"	1983	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Paul-McCartney>	"Paul McCartney"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2008	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Coldplay>	"Coldplay"
"American_Music_Award"	"Favorite_Country_Album"	1993	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Reba-McEntire>	"Reba McEntire"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	2006	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Pussycat-Dolls>	"The Pussycat Dolls"
"American_Music_Award"	"Favorite_Country_Female_Artist"	2007	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Martina-McBride>	"Martina McBride"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2012	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Maroon-5>	"Maroon 5"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	1992	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Mariah-Carey>	"Mariah Carey"
"American_Music_Award"	"Favorite_Pop/Rock_Female_Artist"	1993	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Amy-Grant>	"Amy Grant"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	2003	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Fleetwood-Mac>	"Fleetwood Mac"
"Billboard_Music_Award"	"Top_Female_Artist"	1991	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Mariah-Carey>	"Mariah Carey"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2006	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Nickelback>	"Nickelback"
"American_Music_Award"	"Favorite_Country_Female_Artist"	2002	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sara-Evans>	"Sara Evans"
"Grammy_Award"	"Song_of_the_Year"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Mark-Ronson>	"Mark Ronson"
